"boroct","nta","lat","lon"
"3118800","BK83",40.682178026111586,-73.87833445077709
"4045200","QN35",40.711594664199275,-73.80871115610317
"4040100","QN26",40.75257951270682,-73.86303630140723
"2002702","BX39",40.807346997667416,-73.91682097560721
"2043400","BX62",40.89793095559368,-73.85221547858679
"2007200","BX55",40.82790015500349,-73.86968191364099
"4014800","QN54",40.69454069444928,-73.83092640070274
"2007500","BX34",40.81825954270556,-73.91285013182527
"4015400","QN54",40.69454069444928,-73.83092640070274
"3016700","BK37",40.6712282969066,-73.98390328622068
"5007500","SI35",40.6300500624979,-74.10286117047163
"3026900","BK75",40.691507497756945,-73.94990502104507
"3102400","BK50",40.638040560954266,-73.8997502702429
"2003800","BX09",40.81805458812748,-73.85618761949844
"3039200","BK25",40.59995428578434,-73.96433366842246
"3044700","BK77",40.70056068324129,-73.91776601162026
"4044400","QN61",40.70436875766945,-73.79397966817314
"5012806","SI25",40.56199528294785,-74.1225830646297
"2044901","BX62",40.89793095559368,-73.85221547858679
"3014700","BK32",40.65237338151874,-74.01124998396713
"4012500","QN72",40.77741722311807,-73.90540613732516
"1014200","MN40",40.77472985224529,-73.96117409549935
"1019600","MN34",40.801168413197736,-73.9373457713399
"3063200","BK17",40.58829982865478,-73.94151113296371
"1011401","MN40",40.77472985224529,-73.96117409549935
"4079900","QN62",40.74308180072677,-73.81964941871084
"3020100","BK69",40.68796681283758,-73.96236332326195
"4086400","QN55",40.67615527362095,-73.81945921642959
"4025302","QN31",40.739772511674886,-73.93121212415285
"3019000","BK28",40.61221904922545,-73.99525918873987
"3027800","BK28",40.61221904922545,-73.99525918873987
"5002900","SI37",40.61872736328883,-74.07370411979818
"4045600","QN35",40.711594664199275,-73.80871115610317
"3046400","BK88",40.63094965542463,-73.98866123064067
"3010800","BK34",40.641889194323525,-74.00464613109365
"3044300","BK77",40.70056068324129,-73.91776601162026
"4012100","QN72",40.77741722311807,-73.90540613732516
"5013203","SI54",40.55186037868574,-74.15089035712079
"2038301","BX40",40.858154401738695,-73.8995370339764
"3028400","BK28",40.61221904922545,-73.99525918873987
"1019100","MN12",40.79037998139949,-73.97390784022826
"4017600","QN55",40.67615527362095,-73.81945921642959
"2040800","BX44",40.88215637091284,-73.85894857876542
"2035100","BX22",40.8995349681585,-73.90698476040306
"2043600","BX62",40.89793095559368,-73.85221547858679
"2023302","BX41",40.84905813133556,-73.90512194941535
"1031703","MN25",40.70800715636219,-74.01024491300639
"4043701","QN25",40.74234894149034,-73.85837079053796
"3078800","BK42",40.637900377838186,-73.96096847099832
"3024300","BK75",40.691507497756945,-73.94990502104507
"2017902","BX14",40.83051123039993,-73.915788606076
"4039400","QN08",40.69120183510406,-73.76314607493573
"5014604","SI54",40.55186037868574,-74.15089035712079
"4004002","QN56",40.675599436327694,-73.84704878929129
"3022400","BK88",40.63094965542463,-73.98866123064067
"3082600","BK95",40.646116419954,-73.95162338294368
"5003600","SI37",40.61872736328883,-74.07370411979818
"5024401","SI11",40.52550834437698,-74.2335439767768
"4116100","QN22",40.7610932656248,-73.8288655055002
"5018100","SI24",40.58655962024462,-74.13297403095186
"2021002","BX46",40.8377466194947,-73.857988846991
"2023800","BX37",40.84678319640483,-73.8506680366952
"2022000","BX17",40.84496591016541,-73.88552318942503
"4050500","QN21",40.718337840902066,-73.88005347951602
"4013400","QN60",40.708057257065235,-73.82870011644651
"3004500","BK33",40.67877155762639,-74.00389947650746
"5019700","SI07",40.61688442047982,-74.12535315841276
"3054500","BK72",40.70391652605123,-73.95859674782493
"3059402","BK17",40.58829982865478,-73.94151113296371
"3082400","BK95",40.646116419954,-73.95162338294368
"4066900","QN21",40.718337840902066,-73.88005347951602
"2041500","BX05",40.86768209051977,-73.89018363618725
"5021300","SI28",40.6281673480548,-74.14078752275152
"4084602","QN55",40.67615527362095,-73.81945921642959
"5008900","SI22",40.6389706741606,-74.10231069684154
"3013600","BK31",40.62484720099241,-74.02988291264548
"4095400","QN12",40.59406108141097,-73.78961809998307
"1007300","MN23",40.73304509544942,-74.00154663733818
"4018900","QN31",40.739772511674886,-73.93121212415285
"3057100","BK76",40.72949970084765,-73.9495169516098
"1022500","MN04",40.82701371638529,-73.94852162460946
"3099600","BK50",40.638040560954266,-73.8997502702429
"2000400","BX09",40.81805458812748,-73.85618761949844
"4124100","QN38",40.72833316340626,-73.80244495608436
"3043700","BK77",40.70056068324129,-73.91776601162026
"4018402","QN76",40.67895358951346,-73.7909871792418
"1019200","MN34",40.801168413197736,-73.9373457713399
"1024000","MN99",40.78797632175716,-73.95478341339228
"3051200","BK42",40.637900377838186,-73.96096847099832
"4099802","QN15",40.60245452855237,-73.75531696788443
"3030300","BK79",40.676637616923976,-73.91364751024061
"4028500","QN28",40.75731186888698,-73.8853210958476
"1004200","MN22",40.72762033361404,-73.98593461190784
"4005100","QN68",40.75756176881947,-73.93874952665057
"2011000","BX52",40.82333239790897,-73.82358803920123
"4162100","QN43",40.73548777677034,-73.72665684464235
"4000100","QN31",40.739772511674886,-73.93121212415285
"2022300","BX63",40.82899264003715,-73.92440459909884
"1005502","MN23",40.73304509544942,-74.00154663733818
"2017702","BX14",40.83051123039993,-73.915788606076
"3037401","BK26",40.58840281809143,-73.98143050403097
"4034700","QN28",40.75731186888698,-73.8853210958476
"5020700","SI28",40.6281673480548,-74.14078752275152
"4060701","QN21",40.718337840902066,-73.88005347951602
"4050700","QN21",40.718337840902066,-73.88005347951602
"4090700","QN23",40.780923218958165,-73.84280567064373
"4025400","QN01",40.69442746751805,-73.79096387835465
"4025100","QN63",40.749278080775795,-73.90373128114413
"3033500","BK63",40.666538797567895,-73.94878399038701
"4046400","QN06",40.720655355962045,-73.7761006273737
"1003200","MN22",40.72762033361404,-73.98593461190784
"4129103","QN42",40.74267581231825,-73.75461549916372
"5002002","SI14",40.60032079244515,-74.0717761851712
"3107800","BK82",40.66094706832902,-73.87683894935641
"3086800","BK96",40.652364804241444,-73.92225097372663
"3077400","BK42",40.637900377838186,-73.96096847099832
"4097204","QN12",40.59406108141097,-73.78961809998307
"1009400","MN17",40.7557339292816,-73.98350302158433
"4026901","QN29",40.739494756440735,-73.87711846559534
"3075200","BK43",40.6209240392228,-73.95682458081855
"3067200","BK58",40.62627278951659,-73.93009695805877
"4007700","QN70",40.76149369363072,-73.91969727135536
"3152200","BK42",40.637900377838186,-73.96096847099832
"4004300","QN68",40.75756176881947,-73.93874952665057
"5027704","SI24",40.58655962024462,-74.13297403095186
"4125700","QN37",40.72639943340573,-73.81866840460805
"3018700","BK68",40.690795105012825,-73.97488147937314
"3008400","BK32",40.65237338151874,-74.01124998396713
"2037900","BX41",40.84905813133556,-73.90512194941535
"4016100","QN70",40.76149369363072,-73.91969727135536
"3030700","BK61",40.67446937016724,-73.93928717423759
"3052300","BK73",40.71491649785282,-73.95862548093875
"4052200","QN08",40.69120183510406,-73.76314607493573
"1024100","MN36",40.841707617134105,-73.94139841606824
"2040600","BX44",40.88215637091284,-73.85894857876542
"5000900","SI22",40.6389706741606,-74.10231069684154
"4079702","QN22",40.7610932656248,-73.8288655055002
"4011300","QN72",40.77741722311807,-73.90540613732516
"3028000","BK27",40.60426981077669,-74.00748726061335
"3052000","BK42",40.637900377838186,-73.96096847099832
"1005400","MN13",40.74758546919528,-73.99902072344851
"5017009","SI48",40.55265879250031,-74.18848303703332
"2041400","BX62",40.89793095559368,-73.85221547858679
"3008600","BK34",40.641889194323525,-74.00464613109365
"2012102","BX27",40.81207836127898,-73.88553459234242
"3005602","BK31",40.62484720099241,-74.02988291264548
"3024700","BK61",40.67446937016724,-73.93928717423759
"2025700","BX36",40.852522034760526,-73.91597420561227
"4039800","QN08",40.69120183510406,-73.76314607493573
"3081800","BK95",40.646116419954,-73.95162338294368
"1025500","MN36",40.841707617134105,-73.94139841606824
"3091800","BK81",40.66400156237572,-73.91025452123064
"1017300","MN12",40.79037998139949,-73.97390784022826
"4055200","QN34",40.715454525266644,-73.74153181007685
"3059200","BK17",40.58829982865478,-73.94151113296371
"5009601","SI36",40.58679178294388,-74.08551252053425
"1028500","MN35",40.85710626636667,-73.93283336084565
"2034500","BX22",40.8995349681585,-73.90698476040306
"3049400","BK41",40.640590145611924,-73.97619902566086
"1002000","MN28",40.71784098629774,-73.9809116398646
"3072600","BK58",40.62627278951659,-73.93009695805877
"2020400","BX59",40.8321004101601,-73.84864269174788
"3116800","BK82",40.66094706832902,-73.87683894935641
"4004001","QN53",40.688721535647744,-73.85576665249252
"3056200","BK44",40.60491359559639,-73.94813559468899
"4097203","QN12",40.59406108141097,-73.78961809998307
"3049700","BK90",40.71536855279132,-73.93679701824689
"4157903","QN44",40.74599386466473,-73.7110266562392
"3112000","BK82",40.66094706832902,-73.87683894935641
"4103201","QN15",40.60245452855237,-73.75531696788443
"3030000","BK29",40.60142922014472,-73.98353751289449
"4012200","QN54",40.69454069444928,-73.83092640070274
"4056500","QN19",40.70353497050094,-73.87574826036803
"1005800","MN13",40.74758546919528,-73.99902072344851
"3040600","BK29",40.60142922014472,-73.98353751289449
"2023703","BX40",40.858154401738695,-73.8995370339764
"3117202","BK83",40.682178026111586,-73.87833445077709
"4084500","QN22",40.7610932656248,-73.8288655055002
"4045700","QN29",40.739494756440735,-73.87711846559534
"5002700","SI37",40.61872736328883,-74.07370411979818
"3039500","BK78",40.69645881663439,-73.92511472634303
"2029700","BX29",40.88240601985339,-73.9106668412233
"4074100","QN17",40.721431572364395,-73.84767250596063
"5017008","SI48",40.55265879250031,-74.18848303703332
"3014900","BK37",40.6712282969066,-73.98390328622068
"3029800","BK29",40.60142922014472,-73.98353751289449
"4020500","QN31",40.739772511674886,-73.93121212415285
"4077908","QN37",40.72639943340573,-73.81866840460805
"1018400","MN34",40.801168413197736,-73.9373457713399
"3042800","BK29",40.60142922014472,-73.98353751289449
"4093900","QN23",40.780923218958165,-73.84280567064373
"3034000","BK21",40.57648264584344,-73.99123577569601
"1020701","MN09",40.80788624331421,-73.96254365258496
"3041800","BK25",40.59995428578434,-73.96433366842246
"2033500","BX22",40.8995349681585,-73.90698476040306
"2022200","BX46",40.8377466194947,-73.857988846991
"4083700","QN62",40.74308180072677,-73.81964941871084
"3014500","BK32",40.65237338151874,-74.01124998396713
"3013100","BK37",40.6712282969066,-73.98390328622068
"3085400","BK91",40.643946970794566,-73.93792983709356
"2007000","BX55",40.82790015500349,-73.86968191364099
"3019500","BK69",40.68796681283758,-73.96236332326195
"4062600","QN66",40.675917134916006,-73.74452396457488
"3049300","BK78",40.69645881663439,-73.92511472634303
"4115500","QN51",40.76835158797385,-73.80954590118571
"1006900","MN23",40.73304509544942,-74.00154663733818
"4118500","QN52",40.75410896946269,-73.80729444048158
"3019300","BK69",40.68796681283758,-73.96236332326195
"1017500","MN12",40.79037998139949,-73.97390784022826
"4011600","QN54",40.69454069444928,-73.83092640070274
"4053401","QN33",40.69434147617814,-73.73555419165052
"4033402","QN02",40.6720902734656,-73.7730363557905
"3056500","BK76",40.72949970084765,-73.9495169516098
"3076400","BK42",40.637900377838186,-73.96096847099832
"3059600","BK17",40.58829982865478,-73.94151113296371
"3059000","BK17",40.58829982865478,-73.94151113296371
"1001402","MN28",40.71784098629774,-73.9809116398646
"2004300","BX39",40.807346997667416,-73.91682097560721
"1031900","MN99",40.78797632175716,-73.95478341339228
"4020600","QN61",40.70436875766945,-73.79397966817314
"1002700","MN27",40.715607060232514,-73.99462954043106
"1003602","MN22",40.72762033361404,-73.98593461190784
"3061200","BK17",40.58829982865478,-73.94151113296371
"2040701","BX28",40.876513382012234,-73.89562209803361
"3036600","BK19",40.580923007384,-73.96121598649943
"3042300","BK78",40.69645881663439,-73.92511472634303
"4061302","QN20",40.70653136345975,-73.9017154106143
"3025500","BK75",40.691507497756945,-73.94990502104507
"3063600","BK45",40.61457880484657,-73.91524505344194
"4027100","QN29",40.739494756440735,-73.87711846559534
"4018000","QN55",40.67615527362095,-73.81945921642959
"3115800","BK85",40.66655893770656,-73.89536411996932
"1022301","MN06",40.8179755661298,-73.9537819921935
"3040000","BK29",40.60142922014472,-73.98353751289449
"2044200","BX62",40.89793095559368,-73.85221547858679
"2007400","BX09",40.81805458812748,-73.85618761949844
"1003100","MN24",40.72076612081412,-74.00474749842262
"3073400","BK58",40.62627278951659,-73.93009695805877
"3069800","BK45",40.61457880484657,-73.91524505344194
"2014900","BX35",40.827512442805286,-73.90235187024392
"4059600","QN33",40.69434147617814,-73.73555419165052
"3081600","BK91",40.643946970794566,-73.93792983709356
"2019500","BX63",40.82899264003715,-73.92440459909884
"3023000","BK88",40.63094965542463,-73.98866123064067
"4008600","QN56",40.675599436327694,-73.84704878929129
"3111600","BK82",40.66094706832902,-73.87683894935641
"4035100","QN28",40.75731186888698,-73.8853210958476
"2033700","BX22",40.8995349681585,-73.90698476040306
"4017000","QN55",40.67615527362095,-73.81945921642959
"4027600","QN76",40.67895358951346,-73.7909871792418
"1017401","MN33",40.79001128728551,-73.9457508587985
"2021501","BX36",40.852522034760526,-73.91597420561227
"1021200","MN03",40.81825717545733,-73.94077184302625
"1008400","MN17",40.7557339292816,-73.98350302158433
"4012601","QN54",40.69454069444928,-73.83092640070274
"3019100","BK69",40.68796681283758,-73.96236332326195
"4053601","QN34",40.715454525266644,-73.74153181007685
"5012805","SI25",40.56199528294785,-74.1225830646297
"3091000","BK81",40.66400156237572,-73.91025452123064
"4061000","QN33",40.69434147617814,-73.73555419165052
"1021000","MN34",40.801168413197736,-73.9373457713399
"5013800","SI25",40.56199528294785,-74.1225830646297
"4080302","QN62",40.74308180072677,-73.81964941871084
"1023900","MN36",40.841707617134105,-73.94139841606824
"5001700","SI37",40.61872736328883,-74.07370411979818
"4101700","QN47",40.78333313873573,-73.78597343814732
"3057300","BK76",40.72949970084765,-73.9495169516098
"4086900","QN22",40.7610932656248,-73.8288655055002
"4044301","QN25",40.74234894149034,-73.85837079053796
"3082800","BK95",40.646116419954,-73.95162338294368
"4122701","QN38",40.72833316340626,-73.80244495608436
"3024900","BK75",40.691507497756945,-73.94990502104507
"4091601","QN10",40.57145652087039,-73.87654420408197
"3021900","BK61",40.67446937016724,-73.93928717423759
"4056200","QN34",40.715454525266644,-73.74153181007685
"3096000","BK50",40.638040560954266,-73.8997502702429
"2024400","BX37",40.84678319640483,-73.8506680366952
"4099200","QN12",40.59406108141097,-73.78961809998307
"1015500","MN14",40.77484656327267,-73.98469929694865
"3065000","BK58",40.62627278951659,-73.93009695805877
"5015601","SI54",40.55186037868574,-74.15089035712079
"4010300","QN72",40.77741722311807,-73.90540613732516
"4010000","QN55",40.67615527362095,-73.81945921642959
"3039600","BK25",40.59995428578434,-73.96433366842246
"3026200","BK28",40.61221904922545,-73.99525918873987
"2015800","BX52",40.82333239790897,-73.82358803920123
"2037504","BX17",40.84496591016541,-73.88552318942503
"2032300","BX22",40.8995349681585,-73.90698476040306
"1018500","MN12",40.79037998139949,-73.97390784022826
"3028800","BK28",40.61221904922545,-73.99525918873987
"2009000","BX09",40.81805458812748,-73.85618761949844
"4032900","QN28",40.75731186888698,-73.8853210958476
"4019400","QN01",40.69442746751805,-73.79096387835465
"1021600","MN11",40.804332483651926,-73.95129332011003
"4099900","QN47",40.78333313873573,-73.78597343814732
"1010200","MN17",40.7557339292816,-73.98350302158433
"3056300","BK76",40.72949970084765,-73.9495169516098
"2020501","BX36",40.852522034760526,-73.91597420561227
"2028300","BX29",40.88240601985339,-73.9106668412233
"1015700","MN14",40.77484656327267,-73.98469929694865
"1018200","MN34",40.801168413197736,-73.9373457713399
"3101000","BK50",40.638040560954266,-73.8997502702429
"1004100","MN24",40.72076612081412,-74.00474749842262
"4035300","QN27",40.76335220117605,-73.86839559824676
"3004600","BK31",40.62484720099241,-74.02988291264548
"4026700","QN29",40.739494756440735,-73.87711846559534
"3027500","BK35",40.68816824308709,-73.93188820649836
"4011500","QN72",40.77741722311807,-73.90540613732516
"2042901","BX43",40.8771422790622,-73.87902106926485
"3121400","BK82",40.66094706832902,-73.87683894935641
"3084600","BK96",40.652364804241444,-73.92225097372663
"5015100","SI07",40.61688442047982,-74.12535315841276
"2013200","BX52",40.82333239790897,-73.82358803920123
"3030400","BK29",40.60142922014472,-73.98353751289449
"3117800","BK83",40.682178026111586,-73.87833445077709
"3024800","BK28",40.61221904922545,-73.99525918873987
"3011000","BK34",40.641889194323525,-74.00464613109365
"3019400","BK30",40.622437890916565,-74.01209403612
"5001100","SI22",40.6389706741606,-74.10231069684154
"2039000","BX44",40.88215637091284,-73.85894857876542
"3067600","BK58",40.62627278951659,-73.93009695805877
"1006500","MN23",40.73304509544942,-74.00154663733818
"2001600","BX09",40.81805458812748,-73.85618761949844
"4119500","QN52",40.75410896946269,-73.80729444048158
"2037600","BX44",40.88215637091284,-73.85894857876542
"3036200","BK19",40.580923007384,-73.96121598649943
"4130100","QN43",40.73548777677034,-73.72665684464235
"3003600","BK31",40.62484720099241,-74.02988291264548
"3018800","BK28",40.61221904922545,-73.99525918873987
"3069601","BK45",40.61457880484657,-73.91524505344194
"4134100","QN41",40.734894486358066,-73.78371636108699
"1017200","MN33",40.79001128728551,-73.9457508587985
"3054700","BK73",40.71491649785282,-73.95862548093875
"2007700","BX34",40.81825954270556,-73.91285013182527
"3049200","BK41",40.640590145611924,-73.97619902566086
"4133900","QN41",40.734894486358066,-73.78371636108699
"2012101","BX35",40.827512442805286,-73.90235187024392
"1004900","MN24",40.72076612081412,-74.00474749842262
"1020102","MN11",40.804332483651926,-73.95129332011003
"3020200","BK30",40.622437890916565,-74.01209403612
"4157902","QN44",40.74599386466473,-73.7110266562392
"3111800","BK82",40.66094706832902,-73.87683894935641
"3030500","BK61",40.67446937016724,-73.93928717423759
"1001502","MN25",40.70800715636219,-74.01024491300639
